Date,Product_ID,Product_Name,Category,Base_Price,Discounted_Price,Units_Sold,Revenue,Discount (%),Rating
2023-01-01,P1001,Wireless Headphones,Electronics,59.99,59.99,58,3479.42,0,4.6
2023-01-01,P1002,Bluetooth Speaker,Electronics,45.99,43.69,92,4019.48,5,3.7
2023-01-01,P1003,Smartwatch,Electronics,149.99,149.99,56,8399.44,0,4.4
2023-01-01,P1004,Yoga Mat,Fitness,25.0,25.0,38,950.0,0,3.6
2023-01-01,P1005,Resistance Bands,Fitness,19.99,19.99,89,1779.11,0,4.3
2023-01-01,P1006,Ceramic Mug,Home & Kitchen,12.99,11.04,169,1865.76,15,3.8
2023-01-01,P1007,Non-stick Pan,Home & Kitchen,34.99,31.49,180,5668.2,10,4.7
2023-01-01,P1008,Notebook Set,Office & Stationery,10.99,10.44,31,323.64,5,4.5
2023-01-01,P1009,Backpack,Fashion & Accessories,49.99,44.99,117,5263.83,10,3.7
2023-01-01,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,116,10438.84,0,3.6
2023-01-01,P1011,Moisturizer,Beauty & Personal Care,22.49,20.24,54,1092.96,10,4.8
2023-01-01,P1012,Programming Book,Books & Learning,39.95,39.95,97,3875.15,0,4.6
2023-01-02,P1001,Wireless Headphones,Electronics,59.99,59.99,167,10018.33,0,5.0
2023-01-02,P1002,Bluetooth Speaker,Electronics,45.99,45.99,126,5794.74,0,4.3
2023-01-02,P1003,Smartwatch,Electronics,149.99,142.49,122,17383.78,5,4.6
2023-01-02,P1004,Yoga Mat,Fitness,25.0,23.75,41,973.75,5,4.7
2023-01-02,P1005,Resistance Bands,Fitness,19.99,18.99,50,949.5,5,4.8
2023-01-02,P1006,Ceramic Mug,Home & Kitchen,12.99,11.69,127,1484.63,10,4.2
2023-01-02,P1007,Non-stick Pan,Home & Kitchen,34.99,33.24,123,4088.52,5,4.1
2023-01-02,P1008,Notebook Set,Office & Stationery,10.99,9.89,83,820.87,10,4.6
2023-01-02,P1009,Backpack,Fashion & Accessories,49.99,47.49,48,2279.52,5,4.3
2023-01-02,P1010,Running Shoes,Fashion & Accessories,89.99,85.49,92,7865.08,5,4.2
2023-01-02,P1011,Moisturizer,Beauty & Personal Care,22.49,21.37,99,2115.63,5,4.5
2023-01-02,P1012,Programming Book,Books & Learning,39.95,37.95,44,1669.8,5,4.7
2023-01-03,P1001,Wireless Headphones,Electronics,59.99,50.99,110,5608.9,15,3.9
2023-01-03,P1002,Bluetooth Speaker,Electronics,45.99,41.39,84,3476.76,10,3.8
2023-01-03,P1003,Smartwatch,Electronics,149.99,127.49,157,20015.93,15,4.8
2023-01-03,P1004,Yoga Mat,Fitness,25.0,23.75,147,3491.25,5,3.9
2023-01-03,P1005,Resistance Bands,Fitness,19.99,17.99,93,1673.07,10,4.6
2023-01-03,P1006,Ceramic Mug,Home & Kitchen,12.99,11.04,139,1534.56,15,4.0
2023-01-03,P1007,Non-stick Pan,Home & Kitchen,34.99,29.74,65,1933.1,15,3.6
2023-01-03,P1008,Notebook Set,Office & Stationery,10.99,10.99,42,461.58,0,3.7
2023-01-03,P1009,Backpack,Fashion & Accessories,49.99,42.49,70,2974.3,15,4.4
2023-01-03,P1010,Running Shoes,Fashion & Accessories,89.99,76.49,128,9790.72,15,4.4
2023-01-03,P1011,Moisturizer,Beauty & Personal Care,22.49,20.24,149,3015.76,10,5.0
2023-01-03,P1012,Programming Book,Books & Learning,39.95,39.95,32,1278.4,0,4.5
2023-01-04,P1001,Wireless Headphones,Electronics,59.99,53.99,167,9016.33,10,4.7
2023-01-04,P1002,Bluetooth Speaker,Electronics,45.99,45.99,117,5380.83,0,3.9
2023-01-04,P1003,Smartwatch,Electronics,149.99,127.49,70,8924.3,15,3.5
2023-01-04,P1004,Yoga Mat,Fitness,25.0,23.75,97,2303.75,5,4.3
2023-01-04,P1005,Resistance Bands,Fitness,19.99,17.99,57,1025.43,10,4.8
2023-01-04,P1006,Ceramic Mug,Home & Kitchen,12.99,12.34,159,1962.06,5,3.7
2023-01-04,P1007,Non-stick Pan,Home & Kitchen,34.99,34.99,71,2484.29,0,4.4
2023-01-04,P1008,Notebook Set,Office & Stationery,10.99,10.99,155,1703.45,0,3.7
2023-01-04,P1009,Backpack,Fashion & Accessories,49.99,44.99,122,5488.78,10,3.9
2023-01-04,P1010,Running Shoes,Fashion & Accessories,89.99,89.99,91,8189.09,0,3.6
2023-01-04,P1011,Moisturizer,Beauty & Personal Care,22.49,22.49,154,3463.46,0,5.0
2023-01-04,P1012,Programming Book,Books & Learning,39.95,37.95,166,6299.7,5,3.7
2023-01-05,P1001,Wireless Headphones,Electronics,59.99,56.99,151,8605.49,5,3.9
2023-01-05,P1002,Bluetooth Speaker,Electronics,45.99,43.69,138,6029.22,5,4.9
2023-01-05,P1003,Smartwatch,Electronics,149.99,134.99,81,10934.19,10,4.1
2023-01-05,P1004,Yoga Mat,Fitness,25.0,21.25,125,2656.25,15,4.8
2023-01-05,P1005,Resistance Bands,Fitness,19.99,19.99,145,2898.55,0,3.9
2023-01-05,P1006,Ceramic Mug,Home & Kitchen,12.99,11.69,46,537.74,10,3.5
2023-01-05,P1007,Non-stick Pan,Home & Kitchen,34.99,33.24,171,5684.04,5,4.4
2023-01-05,P1008,Notebook Set,Office & Stationery,10.99,10.99,31,340.69,0,4.6
2023-01-05,P1009,Backpack,Fashion & Accessories,49.99,47.49,45,2137.05,5,3.6
2023-01-05,P1010,Running Shoes,Fashion & Accessories,89.99,80.99,38,3077.62,10,3.6
